"FBG_1","FBG_2","FBG_3","FBG_4","FB1_31","FB1_33","FB1_16","IGerM","FB7_19","FB7_20","FB7_21","FB7_22","FB7_23","FB7_24","FB7_25","FB7_26","FB7_27","FB7_38","FB7_39","FB2_36","FB2_37","Kommentar"
"LA56",2011,"H2","14_2",4,3,9,24,1,0,0,0,0,1,0,0,0,1,28.2,43.6,38,"retuschierter Trümmer"
"LA56",2011,308,"30422_1",6,3,9,24,1,0,0,1,0,0,0,0,0,1,2.3,24.2,16.6,"retuschierter Trümmer"
"LA56",2011,308,"30422_2",7,3,9,24,1,0,0,1,0,0,0,0,0,1,1.2,18.6,15.4,"retuschierter Trümmer"
"LA56",2011,308,"30422_3",6,3,9,24,1,0,0,0,1,0,0,0,0,1,1.4,19.8,17.2,"retuschierter Trümmer"
"LA56",2011,308,"30422_4",5,3,9,24,1,0,0,1,0,0,0,0,0,1,13.7,30.2,23.2,"retuschierter Trümmer"
"LA56",2011,"H2","40713_1",7,3,9,24,1,0,0,1,0,0,0,0,0,1,0.5,14.9,10.5,"retuschierter Trümmer"
"LA56",2011,"H2",143,6,0,9,39,1,0,0,1,0,0,0,0,0,1,1.7,20,20,"Flintdolchspitze"
"LA56",2011,"104_proPu",10607,3,0,9,39,1,0,0,1,0,0,0,0,0,1,22,75,35.1,"Flintdolchspitze (passend zu 40130)"
"LA56",2011,"104/111",10991,3,0,9,39,1,0,0,1,0,0,0,0,0,1,31.2,116.5,26,"Flintdolch"
"LA56",2011,"ProPuNO",11043,5,0,9,39,1,0,0,1,0,0,0,0,0,1,7.3,32.7,20.3,"Flintdolchgriff"
"LA56",2011,"ProPuNO",11044,6,0,9,39,1,0,0,1,0,0,0,0,0,1,1.1,25.7,14.5,"Flintdolchspitze"
"LA56",2011,111,11099,4,0,9,39,1,0,0,1,0,0,0,0,0,1,18.2,67.7,30,"Flintdolchspitze aus SED"
"LA56",2011,"H3",40130,3,0,9,39,1,0,0,1,0,0,0,0,0,1,32.5,82.1,34.9,"Flintdolchgriff (passend zu 10607)"
"LA56",2011,"H2",2,1,1,9,21,77,0,0,42,25,10,0,0,0,77,507,,,"Abschlag"
"LA56",2011,201,20236,4,1,9,21,1,0,0,1,0,0,0,0,0,,8.9,42.6,29.63,"Abschlag retuschiert (beidseitig lateral)"
"LA56",2011,"H2",788,5,1,9,21,1,0,0,1,0,0,0,0,0,,6.2,31.85,38.49,"Abschlag mit Gebrauchsspur"
"LA56",2011,104,10727,4,1,9,21,1,0,0,,0,1,0,0,0,,20.7,48.54,28.7,"Abschlag mit Gebrauchsspur"
"LA56",2011,104,10789,4,1,9,21,1,0,0,1,0,0,0,0,0,,9.8,57.15,28.09,"Abschlag mit Gebrauchsspur"
"LA56",2011,104,10941,7,1,9,21,1,0,0,1,0,0,0,0,0,,0.8,17.21,13.54,"Abschlag mit Gebrauchsspur"
"LA56",2011,"ProPuNO",11130,3,1,9,21,1,0,0,,1,0,0,0,0,,38.2,73.13,30.7,"Abschlag mit Gebrauchsspur"
"LA56",2011,"SoPu1",20950,6,1,9,21,1,0,0,1,0,0,0,0,0,,3.4,27.98,16.26,"Abschlag mit Gebrauchsspur"
"LA56",2011,309,30802,5,1,9,21,1,0,0,1,0,0,0,0,0,,4,33.38,33.23,"Abschlag mit Gebrauchsspur"
"LA56",2011,"H3",40728,5,1,9,21,1,0,0,1,0,0,0,0,0,,4.8,44.68,25.48,"Abschlag mit Gebrauchsspur"
"LA56",2011,"H2","146_1",4,1,9,21,1,0,0,1,0,0,0,0,0,,9.3,42.88,28.12,"Abschlag mit Gebrauchsspur"
"LA56",2011,"H2","146_2",4,1,9,21,1,0,0,0,0,1,0,0,0,,17.9,43.15,47.37,"Abschlag mit Gebrauchsspur"
"LA56",2011,"H2","146_3",4,1,9,21,1,0,0,0,1,0,0,0,0,,15.3,25.95,33.58,"Abschlag mit Gebrauchsspur"
"LA56",2011,"H2","146_4",4,1,9,21,1,0,0,0,1,0,0,0,0,,23.2,48.01,43.06,"Abschlag mit Gebrauchsspur"
"LA56",2011,"H2","146_5",4,1,9,21,1,0,0,0,0,1,0,0,0,,20.9,44.33,27.93,"Abschlag mit Gebrauchsspur"
"LA56",2011,"H2","146_6",4,1,9,21,1,0,0,1,0,0,0,0,0,,29.2,63.47,32.44,"Abschlag mit Gebrauchsspur"
"LA56",2011,101,10147,2,1,9,21,1,0,0,0,0,1,0,0,0,,123.4,124.24,65.44,"Abschlag retuschiert"
"LA56",2011,404,40731,5,1,9,21,1,0,0,1,0,0,0,0,0,,4.2,40.22,19.76,"Abschlag retuschiert"
"LA56",2011,101,"10089_2",6,1,9,21,1,0,0,1,0,0,0,0,0,,0.5,21.34,11.59,"Abschlag retuschiert"
"LA56",2011,101,"10089_4",4,1,9,21,1,0,0,0,0,1,0,0,0,,16,24.54,42.57,"Abschlag retuschiert"
