Siedlungsnr;Stelle;Positionsnr;Individualnr;Formblattnr;Rohmat1;Rohmat2;Rohmat_Farbe;Oberfl_art_Spaltfl;Strukturen_Material;Rinde;Nat_Fl;Nat_Fl_Abroll;Therm_Art;Therm_Zeit;Erhaltung_Rechteck;Länge;Breite;Dicke;Gewicht;Mod_Erhaltung;Grundform;Erhaltung_Schlagr;Schlagr_Verlauf;Schlagflrest_Länge;Schlagflrest_Breite;Schlagflrest_Erhaltung;Schlagflrest_Art;Schlagflrest_Schlagaugen;Rinde_natSprungfl;Negat_Bulbusnegat_Dorsal;Negat_Dorsal;Dorsalflpräp;Präpgrat_Verlauf;Distal_Zustand;Schlagm_Ventral;Dorsalflneg_Abbaur;Mod_Art_1;Mod_Art_2;Mod_Art_3;Mod_Art_4;Mod_Art_5;Mod_Art_6;Mod_Reihe_1;Mod_Reihe_2;Mod_Reihe_3;igerm1
AE;0348;013;004;01;03;06;10;2;1;0;0;0;0;0;6;29;19;3;1,3;1;1;8;3;999;999;0;0;0;0;98;98;0;0;0;0;0;01;  ;  ;  ;  ;  ; ; ; ;01
AE;0353;014;001;01;11;;16;4;8;0;5;0;4;2;6;17;16;7;1,7;0;1;6;6;10;4;2;1;3;0;98;98;0;0;0;9;0;  ;  ;  ;  ;  ;  ;0; ; ;21
AE;0384;015;001;01;05;06;02;2;3;0;0;0;0;0;2;27;21;5;2,7;0;2;2;4;5;3;1;1;2;0;0;2;0;0;0;3;1;31;  ;  ;  ;  ;  ;0; ; ;22
AE;0453;014;001;01;11;;16;4;0;0;5;3;4;2;6;18;15;4;1,1;0;2;8;7;999;999;0;0;0;4;0;0;0;0;0;0;0;  ;  ;  ;  ;  ;  ;0; ; ;22
AE;0463;017;001;01;11;;16;4;8;0;5;3;4;2;6;17;13;2;0,5;0;4;9;7;999;999;0;0;0;4;98;98;0;0;0;0;0;  ;  ;  ;  ;  ;  ;0; ; ;24
AE;0463;017;002;01;11;;16;4;0;0;5;3;4;2;6;10;7;2;0,2;0;4;9;7;999;999;0;0;0;4;98;98;0;0;0;0;0;  ;  ;  ;  ;  ;  ;0; ; ;24
AE;0463;017;003;01;11;;16;4;8;0;5;3;4;2;6;16;10;2;0,3;0;4;9;7;999;999;0;0;0;4;98;98;0;0;0;0;0;  ;  ;  ;  ;  ;  ;0; ; ;24
AE;0463;017;004;01;11;;16;4;8;3;5;3;7;2;9;26;25;5;2;4;1;6;7;999;999;6;5;3;4;98;98;8;6;0;1;0;  ;  ;  ;  ;  ;  ;0; ; ;21
AE;0463;017;005;01;11;;16;4;8;3;5;3;7;2;3;31;10;7;1,6;4;1;5;7;5;3;5;5;3;4;98;98;8;6;1;1;0;  ;  ;  ;  ;  ;  ;0; ; ;21
AE;0463;017;006;01;11;;16;4;8;3;5;3;7;2;9;33;26;7;4,2;4;1;6;7;11;6;5;5;3;4;98;98;8;6;0;7;0;  ;  ;  ;  ;  ;  ;0; ; ;21
AE;0463;017;007;01;11;;16;4;8;3;5;3;7;2;9;21;20;4;1,8;4;1;9;7;999;999;6;5;3;4;98;98;8;6;4;0;0;  ;  ;  ;  ;  ;  ;0; ; ;21
AE;0463;017;008;01;06;05;03;2;5;0;0;0;0;0;1;21;16;5;1,5;0;1;1;2;8;2;1;2;2;0;0;99;0;0;1;1;0;16;  ;  ;  ;  ;  ;0; ; ;21
AE;0463;017;009;01;05;06;02;2;2;0;0;0;0;0;2;34;14;3;1,9;0;2;4;7;999;999;0;0;0;0;0;3;0;0;0;0;1;31;31;  ;  ;  ;  ;0; ; ;22
AE;0464;020;001;01;06;05;03;2;5;4;0;3;0;0;6;56;34;17;33,7;0;1;6;1;17;6;1;2;2;1;1;2;0;0;0;1;3;16;31;  ;  ;  ;  ;0; ; ;21
AE;0494;043;001;01;11;;16;1;8;0;1;1;1;6;9;37;24;10;8;0;5;9;7;999;999;0;0;0;4;98;98;0;0;0;0;0;  ;  ;  ;  ;  ;  ;0; ; ;25
AE;0494;096;001;01;06;;11;2;0;2;3;1;0;0;9;12;9;5;0,6;0;5;9;7;999;999;0;0;0;4;98;98;0;0;0;0;0;  ;  ;  ;  ;  ;  ;0; ; ;25
AE;0495;074;001;01;01;03;03;3;0;0;0;0;0;0;6;30;16;4;1,4;3;1;9;4;999;999;0;0;0;0;0;99;0;0;0;0;0;01;  ;  ;  ;  ;  ;0; ; ;01
AE;0496;034;001;01;05;06;02;2;7;0;0;0;0;0;2;74;21;8;11,1;3;2;4;4;999;999;0;0;0;0;0;3;0;0;0;0;1;31;31;05;  ;  ;  ; ; ; ;07
AE;0505;017;001;01;06;05;10;2;2;0;0;0;0;0;6;28;12;3;1,2;3;1;8;7;999;999;0;0;0;0;0;98;0;0;0;0;0;01;  ;  ;  ;  ;  ;0; ; ;01
AE;0512;022;001;01;05;06;02;2;2;0;0;0;0;0;2;24;18;3;0,9;0;1;2;3;8;2;1;3;2;0;1;1;0;0;0;1;0;  ;  ;  ;  ;  ;  ;0; ; ;21
