"FBG_1","FBG_3","FBG_4","FBG_5","FBG_6","FB1_17","FB1_18","FB1_19","FB1_20","FB1_21","FB1_22","FB1_24","FB1_25","FB1_26","FB1_27","FB1_28","FB1_29","FB1_30","FB1_32","FB1_33","FB2_35","FB2_38","FB2_45","FB2_46","FB2_44","FB2_42","FB2_52","FB1_23","FB2_54","FB2_55","FB2_56","FB2_57","FB2_53","FB2_58","IGerM","FB1_16","FB2_43","FB2_49","FB2_51","FB2_59","FB2_60"
"AE","1296","19","1","1","2",2,12,0,0,0,0,0,1,20,18,4,1.6,0,1,1,4,10,3,5,3,0,1,99,99,0,0,"9",9,"21","0506",999,4,0,"","0"
"AE","1308","14","1","1","6",1,0,0,0,0,0,0,3,18,14,3,1,0,2,4,0,999,999,0,0,1,1,0,99,0,0,"0",0,"22","0605",999,1,1,"","0"
"AE","1308","31","1","1","2",1,17,0,0,0,0,0,1,71,49,40,150.2,0,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"23","0605",999,NA,NA,"","0"
"AE","1311","15","1","1","2",2,12,0,0,0,0,0,6,24,15,3,1.3,0,1,8,0,999,999,0,0,1,1,0,99,0,0,"0",0,"21","0506",999,1,1,"3131","0"
"AE","1311","15","2","1","2",2,0,0,0,0,0,0,9,10,8,4,0.4,0,3,9,0,999,999,0,0,1,1,98,98,0,0,"0",0,"24","0506",999,1,1,"","0"
"AE","1311","15","3","1","2",2,18,0,0,0,0,0,2,20,11,5,0.8,0,1,4,0,999,999,0,0,1,1,98,98,8,6,"0",0,"21","0506",999,1,1,"","0"
"AE","1316","8","1","1","2",3,17,0,0,0,0,0,2,41,27,8,9.1,0,1,2,3,14,7,1,5,0,1,0,1,2,2,"0",9,"21","0506",999,0,0,"3131","0"
"AE","1316","26","1","1","16",4,18,0,0,3,4,2,6,15,13,3,0.6,0,1,8,0,999,999,0,0,1,4,98,98,0,0,"0",0,"21","11",999,1,1,"","0"
"AE","1317","9","1","1","16",4,18,4,0,3,0,0,2,44,27,10,10.7,3,2,2,3,16,7,1,9,9,1,1,2,0,0,"0",1,"8","11",999,0,4,"04","0"
"AE","1317","9","2","1","3",2,14,0,0,0,0,0,2,34,18,6,3.8,3,2,2,3,7,4,1,3,0,1,1,99,0,0,"0",1,"8","0605",999,0,0,"3104","2"
"AE","1317","9","3","1","3",3,16,4,0,2,0,0,6,39,31,9,13.3,3,1,8,0,999,999,0,0,1,1,0,2,0,0,"0",0,"8","0501",999,1,1,"31043104","22"
"AE","1317","9","4","1","3",2,15,0,1,2,0,0,1,34,25,7,5.6,0,1,1,4,11,4,1,9,9,2,99,99,0,0,"5",9,"21","0605",999,4,4,"3116","0"
"AE","1317","9","5","1","10",2,0,4,0,2,0,0,1,37,22,7,5,0,1,1,4,998,998,1,999,0,2,99,98,0,0,"3",0,"21","05",2,4,4,"","0"
"AE","1317","9","6","1","10",2,0,4,0,2,0,0,1,22,14,3,1,0,1,1,3,7,2,5,3,0,1,99,99,0,0,"3",0,"21","05",999,0,4,"","0"
"AE","1317","9","7","1","10",2,0,4,2,3,0,0,2,15,12,3,0.4,0,1,9,0,9,3,1,5,0,3,0,0,0,0,"0",0,"21","0605",999,9,9,"","0"
"AE","1317","9","8","1","3",1,12,0,0,0,0,0,1,32,27,10,8.1,0,1,1,5,998,998,1,999,0,1,0,1,5,3,"3",0,"21","0605",3,4,9,"","0"
"AE","1317","9","9","1","2",1,12,0,0,0,0,0,1,26,23,5,2.7,0,1,1,4,17,6,1,3,0,1,99,1,0,0,"3",4,"21","0605",999,4,4,"","0"
"AE","1317","9","10","1","2",1,13,0,0,0,0,0,3,23,20,8,3,0,1,2,6,18,4,1,999,0,1,99,0,8,0,"0",0,"21","0605",3,0,4,"","0"
"AE","1317","9","11","1","2",2,13,0,0,0,0,0,1,43,37,24,41.6,0,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"23","0506",999,NA,NA,"","0"
"AE","1317","32","1","1","2",2,16,0,0,0,0,0,1,29,23,6,4.1,0,1,1,5,10,5,3,5,0,1,1,99,0,0,"3",9,"21","0506",999,9,9,"","0"
"AE","1317","32","2","1","2",2,16,0,1,2,0,0,2,30,22,8,4.8,0,2,4,0,999,999,0,0,1,1,0,2,0,0,"0",1,"22","0506",999,1,1,"31","0"
"AE","1317","32","3","1","10",2,0,4,0,2,0,0,2,20,14,6,0.9,0,1,3,0,999,999,0,0,1,2,98,98,0,0,"3",0,"21","05",999,1,1,"","0"
"AE","1317","41","1","1","2",2,13,0,0,0,0,0,1,24,17,4,1.3,0,1,1,2,4,3,5,3,0,1,0,99,0,0,"3",0,"21","0506",999,0,0,"","0"
"AE","1317","41","2","1","2",2,0,0,0,0,0,0,1,13,13,2,0.2,0,1,1,3,5,1,1,999,0,1,98,98,0,0,"3",0,"21","0506",3,9,9,"","0"
"AE","1317","43","1","1","2",3,12,0,0,0,0,0,2,35,25,6,4.4,0,1,2,4,14,5,1,4,0,1,1,1,0,0,"0",1,"21","0506",999,0,0,"","0"
"AE","1317","43","2","1","2",2,12,4,0,2,0,0,1,28,16,7,3.7,0,1,1,0,14,4,1,1,9,4,98,98,0,0,"0",0,"21","05",999,1,1,"","0"
"AE","1335","7","1","1","16",4,18,0,5,3,7,2,9,21,20,8,2.1,0,1,9,0,999,999,0,0,1,4,98,98,0,0,"9",0,"21","11",999,1,1,"","0"
"AE","1335","20","1","1","3",2,0,4,0,2,0,0,3,23,18,5,2.6,0,2,4,0,999,999,0,0,1,1,0,99,0,0,"0",0,"22","05",999,1,1,"31","0"
"AE","1335","20","2","1","16",4,0,0,5,3,7,2,6,17,12,5,0.8,0,1,8,0,999,999,0,0,1,4,98,98,0,0,"0",0,"21","11",999,1,1,"","0"
"AE","1335","20","3","1","3",3,12,0,0,0,0,0,2,28,18,5,3.3,3,2,4,0,999,999,0,0,1,1,0,2,0,0,"0",1,"8","0605",999,1,1,"3104","2"
"AE","1335","20","4","1","4",2,0,0,1,2,0,0,1,20,18,7,3,0,1,1,1,4,2,1,1,0,1,99,99,0,0,"3",0,"21","0605",999,0,4,"31","0"
"AE","1335","20","5","1","2",2,12,0,0,0,0,0,2,44,26,8,10,3,2,4,0,999,999,0,0,1,1,0,4,0,0,"0",1,"3","0506",999,1,1,"0931131004","B22"
"AE","1340","33","1","1","3",2,12,0,0,0,0,0,3,19,16,3,1.1,0,2,4,0,999,999,0,0,1,1,0,99,0,0,"0",1,"22","0605",999,1,1,"","0"
"AE","1368","84","1","1","3",1,14,0,0,0,0,0,1,42,28,6,5.5,0,1,1,3,12,5,1,4,0,1,99,1,0,0,"3",7,"21","0605",999,0,4,"31","0"
"AE","1368","236","1","1","16",4,0,2,2,1,0,0,9,14,14,7,1.7,0,3,9,0,999,999,0,0,1,4,98,98,0,0,"0",0,"25","06",999,1,1,"","0"
"AE","1368","269","1","1","10",2,0,0,1,2,0,0,6,37,27,8,7.9,0,1,6,4,7,3,3,5,0,2,99,99,0,0,"0",0,"21","0605",999,9,9,"3116","0"
"AE","1368","427","1","1","16",4,0,0,0,0,0,0,2,24,17,4,1.7,0,2,4,0,999,999,0,0,1,1,0,2,0,0,"0",0,"22","11",999,1,1,"31","0"
"AE","1368","434","1","1","2",3,14,3,0,3,0,0,2,24,16,4,2,0,2,2,3,8,3,1,5,0,1,99,99,0,0,"0",1,"22","0506",999,4,0,"3131","0"
"AE","1409","13","1","1","16",4,18,0,5,3,7,4,2,71,25,6,9,3,2,4,0,999,999,0,0,1,4,0,3,0,0,"0",0,"4","11",999,1,1,"310512","0"
"AE","1431","6","1","1","3",1,14,0,0,0,0,0,1,28,20,7,4.1,0,1,1,3,998,998,1,999,9,1,0,99,8,0,"5",9,"21","0605",3,9,9,"","0"
"AE","1431","17","1","1","2",2,0,4,0,2,0,0,3,20,9,6,1.2,0,1,3,0,999,999,0,0,1,2,0,99,0,0,"5",1,"21","05",999,1,1,"","0"
"AE","1451","7","1","1","11",2,0,0,1,2,0,0,6,44,25,6,5.5,0,2,7,0,999,999,0,0,1,2,0,1,0,0,"9",1,"22","0605",999,1,1,"3131","0"
"AE","1530","21","1","1","2",3,12,0,0,0,0,0,2,26,21,7,4.1,0,2,4,0,999,999,0,0,1,1,0,99,0,0,"0",1,"22","0506",999,1,1,"3131","0"
"AE","1599","7","1","1","3",3,13,0,0,0,0,0,6,25,18,7,3.5,3,2,8,1,999,999,0,0,1,1,0,99,0,0,"0",0,"7","01",999,1,1,"31050608","2"
"AE","1599","8","1","1","2",2,13,0,0,0,0,0,2,28,22,4,3,3,2,4,3,999,999,0,0,1,1,0,99,0,0,"0",1,"4","0506",999,1,1,"311205","B"
